what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496428598
java.vm.specification.version,sysinfo,,,"1.0",1296496428598
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496428598
java.vm.version,sysinfo,,,"17.1-b03",1296496428598
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1296496428785
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1296496428816
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1296496428832
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1296496428832
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1296496428848
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1296496428848
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1296496428894
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1296496433019
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496438456
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496438456
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496438581
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496466986
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496469830
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296496485501
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1296496487095
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1296496487532
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1296496489376
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1296496489876
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1296496490126
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296496490267
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296496491235
